"","tract","hhs","medhhinc","civpop","prophealth"
"630","Census Tract 6913; Cook County; Illinois",1093,42708,2332,0.909
"631","Census Tract 6914; Cook County; Illinois",1310,38816,2701,0.954
"632","Census Tract 6915; Cook County; Illinois",889,22363,1895,0.929
"633","Census Tract 7001; Cook County; Illinois",1081,78803,3855,0.854
"634","Census Tract 7002; Cook County; Illinois",1884,80096,6888,0.834
"635","Census Tract 7003.01; Cook County; Illinois",1895,74207,6124,0.883
"636","Census Tract 7003.02; Cook County; Illinois",1805,83086,6003,0.886
"637","Census Tract 7004.01; Cook County; Illinois",1883,81065,6218,0.868
"638","Census Tract 7004.02; Cook County; Illinois",1196,85208,3417,0.918
"639","Census Tract 7005.01; Cook County; Illinois",2530,66979,6274,0.964
"640","Census Tract 7005.02; Cook County; Illinois",1191,87543,3450,0.878
"641","Census Tract 7101; Cook County; Illinois",518,23500,1026,0.955
"642","Census Tract 7102; Cook County; Illinois",1739,28091,4056,0.873
"643","Census Tract 7103; Cook County; Illinois",558,54444,1382,0.897
"644","Census Tract 7104; Cook County; Illinois",2229,44858,5668,0.93
"645","Census Tract 7105; Cook County; Illinois",1511,39943,4087,0.88
"646","Census Tract 7106; Cook County; Illinois",915,35865,1720,0.833
"647","Census Tract 7107; Cook County; Illinois",1266,31473,3412,0.89
"648","Census Tract 7108; Cook County; Illinois",1970,30461,4536,0.922
"649","Census Tract 7109; Cook County; Illinois",754,45663,2151,0.962
"650","Census Tract 7110; Cook County; Illinois",1252,58030,3779,0.925
"651","Census Tract 7111; Cook County; Illinois",1048,46667,2808,0.868
"652","Census Tract 7112; Cook County; Illinois",1751,58444,4869,0.902
"653","Census Tract 7113; Cook County; Illinois",666,70223,1618,0.868
"654","Census Tract 7114; Cook County; Illinois",874,53929,2728,0.909
"655","Census Tract 7115; Cook County; Illinois",873,57422,2628,0.966
"656","Census Tract 7201; Cook County; Illinois",1114,151613,3370,0.977
"657","Census Tract 7202; Cook County; Illinois",1579,118836,4097,0.971
"658","Census Tract 7203; Cook County; Illinois",1511,145250,3614,0.968
"659","Census Tract 7204; Cook County; Illinois",697,116406,1872,0.955
"660","Census Tract 7205; Cook County; Illinois",720,110625,1833,0.984
"661","Census Tract 7206; Cook County; Illinois",627,148450,1860,0.996
"662","Census Tract 7207; Cook County; Illinois",1164,118227,3135,0.976
"663","Census Tract 7301; Cook County; Illinois",979,65944,2669,0.984
"664","Census Tract 7302.01; Cook County; Illinois",2177,62083,5671,0.921
"665","Census Tract 7302.02; Cook County; Illinois",1027,78819,2899,0.922
"666","Census Tract 7303; Cook County; Illinois",367,49271,1042,0.907
"667","Census Tract 7304; Cook County; Illinois",1434,91284,4063,0.916
"668","Census Tract 7305; Cook County; Illinois",1777,61742,4053,0.903
"669","Census Tract 7306; Cook County; Illinois",1028,75462,3570,0.952
"670","Census Tract 7307; Cook County; Illinois",789,54531,2288,0.922
"671","Census Tract 7401; Cook County; Illinois",1225,109583,3075,0.991
"672","Census Tract 7402; Cook County; Illinois",2138,118444,6473,0.975
"673","Census Tract 7403; Cook County; Illinois",1933,122063,5043,0.98
"674","Census Tract 7404; Cook County; Illinois",1873,93194,4530,0.953
"675","Census Tract 7501; Cook County; Illinois",1514,52109,3636,0.913
"676","Census Tract 7502; Cook County; Illinois",1436,75250,3141,0.986
"677","Census Tract 7503; Cook County; Illinois",968,119000,2546,0.993
"678","Census Tract 7504; Cook County; Illinois",1247,104009,2790,0.981
"679","Census Tract 7505; Cook County; Illinois",1941,52880,4383,0.892
"680","Census Tract 7506; Cook County; Illinois",1301,56504,3824,0.925
"681","Census Tract 7608.01; Cook County; Illinois",2349,73618,4718,0.877
"682","Census Tract 7608.02; Cook County; Illinois",1170,81167,2191,0.901
"683","Census Tract 7608.03; Cook County; Illinois",3059,63155,6805,0.779
"684","Census Tract 7702.01; Cook County; Illinois",2678,85538,6051,0.919
"685","Census Tract 7702.02; Cook County; Illinois",1992,78727,4557,0.979
"686","Census Tract 7703; Cook County; Illinois",2717,88614,7001,0.957
"687","Census Tract 7704; Cook County; Illinois",1590,88983,4440,0.843
"688","Census Tract 7705; Cook County; Illinois",1105,54522,4225,0.702
"689","Census Tract 7706.01; Cook County; Illinois",1149,92569,3439,0.905
"690","Census Tract 7706.02; Cook County; Illinois",1572,80568,4435,0.801
"691","Census Tract 7707; Cook County; Illinois",1074,65300,2283,0.889
"692","Census Tract 7708; Cook County; Illinois",2021,74557,5773,0.922
"693","Census Tract 7709.01; Cook County; Illinois",1980,102955,4796,0.928
"694","Census Tract 7709.02; Cook County; Illinois",1537,81250,3816,0.885
"695","Census Tract 8001; Cook County; Illinois",825,NA,2367,0.99
"696","Census Tract 8002; Cook County; Illinois",2247,214779,6420,0.99
"697","Census Tract 8003; Cook County; Illinois",1127,NA,3303,0.988
"698","Census Tract 8004; Cook County; Illinois",1251,NA,3686,0.995
"699","Census Tract 8005; Cook County; Illinois",1825,NA,5576,0.973
"700","Census Tract 8006; Cook County; Illinois",735,NA,2389,0.994
"701","Census Tract 8007; Cook County; Illinois",1686,NA,4850,0.983
"702","Census Tract 8008; Cook County; Illinois",1031,110156,2331,0.968
"703","Census Tract 8009; Cook County; Illinois",1680,137802,4341,0.977
"704","Census Tract 8010; Cook County; Illinois",2188,146890,5261,0.99
"705","Census Tract 8011; Cook County; Illinois",1600,231919,5045,0.993
"706","Census Tract 8012; Cook County; Illinois",1490,243333,3699,0.99
"707","Census Tract 8013; Cook County; Illinois",1742,142500,4372,1
"708","Census Tract 8014; Cook County; Illinois",1157,164120,3052,0.997
"709","Census Tract 8015; Cook County; Illinois",2698,133224,5988,0.995
"710","Census Tract 8016.01; Cook County; Illinois",1963,98328,4299,0.981
"711","Census Tract 8016.03; Cook County; Illinois",1471,68594,3576,0.927
"712","Census Tract 8016.05; Cook County; Illinois",2135,179425,5721,0.966
"713","Census Tract 8016.06; Cook County; Illinois",2899,158309,7376,0.999
"714","Census Tract 8016.07; Cook County; Illinois",2065,139865,5748,0.921
"715","Census Tract 8016.08; Cook County; Illinois",2605,134179,6214,0.942
"716","Census Tract 8017.01; Cook County; Illinois",1174,220469,3568,0.979
"717","Census Tract 8017.02; Cook County; Illinois",1689,190288,4911,0.993
"718","Census Tract 8018; Cook County; Illinois",2380,167619,6040,0.985
"719","Census Tract 8019.01; Cook County; Illinois",1949,105766,4255,0.942
"720","Census Tract 8019.02; Cook County; Illinois",1231,191319,3770,0.978
"721","Census Tract 8020.02; Cook County; Illinois",1671,139904,4714,0.975
"722","Census Tract 8020.03; Cook County; Illinois",882,135625,2517,0.977
"723","Census Tract 8020.04; Cook County; Illinois",2402,39560,5877,0.878
"724","Census Tract 8021; Cook County; Illinois",1225,163681,3717,0.986
"725","Census Tract 8022; Cook County; Illinois",1937,168105,4937,0.996
"726","Census Tract 8023; Cook County; Illinois",2699,121533,5686,0.988
"727","Census Tract 8024.02; Cook County; Illinois",2434,79841,5862,0.848
"728","Census Tract 8024.03; Cook County; Illinois",835,77471,1392,0.915
"729","Census Tract 8024.04; Cook County; Illinois",3176,67905,7297,0.836
"730","Census Tract 8025.03; Cook County; Illinois",2673,103365,7571,0.905
"731","Census Tract 8025.04; Cook County; Illinois",2120,92541,6644,0.852
"732","Census Tract 8025.05; Cook County; Illinois",2597,69221,6371,0.789
"733","Census Tract 8025.06; Cook County; Illinois",803,92829,2517,0.822
"734","Census Tract 8026.05; Cook County; Illinois",3163,120580,7177,0.94
"735","Census Tract 8026.07; Cook County; Illinois",432,126429,1217,0.971
"736","Census Tract 8026.08; Cook County; Illinois",2921,88346,6009,0.93
"737","Census Tract 8026.09; Cook County; Illinois",2706,58711,6414,0.792
"738","Census Tract 8026.10; Cook County; Illinois",769,127415,1986,0.952
"739","Census Tract 8027.01; Cook County; Illinois",2206,125370,6326,0.922
"740","Census Tract 8027.02; Cook County; Illinois",1732,116136,4945,0.983
"741","Census Tract 8028.01; Cook County; Illinois",1859,131918,4689,0.973
"742","Census Tract 8028.02; Cook County; Illinois",2322,109038,6530,0.964
"743","Census Tract 8029; Cook County; Illinois",2058,158750,6085,0.973
"744","Census Tract 8030.05; Cook County; Illinois",1163,104306,2701,0.987
"745","Census Tract 8030.07; Cook County; Illinois",2136,106316,5201,0.945
"746","Census Tract 8030.08; Cook County; Illinois",1722,145100,4807,0.957
"747","Census Tract 8030.10; Cook County; Illinois",1737,114347,4686,0.922
"748","Census Tract 8030.12; Cook County; Illinois",954,85000,2014,0.899
"749","Census Tract 8030.13; Cook County; Illinois",2353,105841,5724,0.971
"750","Census Tract 8030.14; Cook County; Illinois",1437,76045,3329,0.86
"751","Census Tract 8030.15; Cook County; Illinois",2039,102961,4498,0.958
"752","Census Tract 8030.16; Cook County; Illinois",937,119188,2548,0.947
"753","Census Tract 8030.17; Cook County; Illinois",2532,98125,6116,0.887
"754","Census Tract 8031; Cook County; Illinois",1165,152682,3448,0.969
"755","Census Tract 8032; Cook County; Illinois",2137,99556,4745,0.936
"756","Census Tract 8033; Cook County; Illinois",2926,115946,5629,0.945
"757","Census Tract 8034; Cook County; Illinois",2308,140000,6745,0.956
"758","Census Tract 8035; Cook County; Illinois",2219,144036,5508,0.979
"759","Census Tract 8036.03; Cook County; Illinois",2255,191691,6537,0.946
"760","Census Tract 8036.04; Cook County; Illinois",1800,88377,4304,0.916
"761","Census Tract 8036.05; Cook County; Illinois",2507,100506,6694,0.9
"762","Census Tract 8036.07; Cook County; Illinois",1649,118224,4358,0.94
"763","Census Tract 8036.08; Cook County; Illinois",3207,129358,8110,0.913
"764","Census Tract 8036.11; Cook County; Illinois",2109,68958,6425,0.811
"765","Census Tract 8036.12; Cook County; Illinois",1336,66000,3470,0.81
"766","Census Tract 8036.13; Cook County; Illinois",1100,73333,3891,0.743
"767","Census Tract 8036.14; Cook County; Illinois",1579,50865,4145,0.717
"768","Census Tract 8036.15; Cook County; Illinois",1065,89960,2357,0.933
"769","Census Tract 8036.16; Cook County; Illinois",2081,91968,4789,0.97
"770","Census Tract 8037.01; Cook County; Illinois",1359,81581,2745,0.963
"771","Census Tract 8037.02; Cook County; Illinois",2454,109779,6075,0.98
"772","Census Tract 8038; Cook County; Illinois",1732,121167,4159,0.979
"773","Census Tract 8039.01; Cook County; Illinois",2041,79034,3702,0.959
"774","Census Tract 8039.02; Cook County; Illinois",1230,106012,3416,0.916
"775","Census Tract 8040; Cook County; Illinois",1938,88559,4672,0.962
"776","Census Tract 8041.02; Cook County; Illinois",2435,170819,6749,0.975
"777","Census Tract 8041.04; Cook County; Illinois",1875,145156,5176,0.956
"778","Census Tract 8041.05; Cook County; Illinois",1499,152386,4212,0.96
"779","Census Tract 8041.06; Cook County; Illinois",2607,139139,7232,0.93
"780","Census Tract 8041.08; Cook County; Illinois",2261,91795,4577,0.882
"781","Census Tract 8041.09; Cook County; Illinois",1133,155469,3012,0.987
"782","Census Tract 8042.02; Cook County; Illinois",2846,178385,7853,0.99
"783","Census Tract 8042.03; Cook County; Illinois",1015,225486,3215,0.988
"784","Census Tract 8042.04; Cook County; Illinois",1862,149778,5126,0.973
"785","Census Tract 8043.05; Cook County; Illinois",2713,81277,7790,0.816
"786","Census Tract 8043.06; Cook County; Illinois",1868,88125,6379,0.888
"787","Census Tract 8043.08; Cook County; Illinois",2032,79205,4752,0.912
"788","Census Tract 8043.09; Cook County; Illinois",983,86885,3299,0.902
"789","Census Tract 8043.12; Cook County; Illinois",621,158467,1888,0.985
"790","Census Tract 8043.13; Cook County; Illinois",2174,121986,6913,0.967
"791","Census Tract 8043.14; Cook County; Illinois",622,106410,1409,0.872
"792","Census Tract 8043.15; Cook County; Illinois",877,98050,2547,0.889
"793","Census Tract 8043.16; Cook County; Illinois",1628,110667,4514,0.935
"794","Census Tract 8044.03; Cook County; Illinois",2609,79203,6895,0.857
"795","Census Tract 8044.04; Cook County; Illinois",1588,86802,5504,0.894
"796","Census Tract 8044.05; Cook County; Illinois",1021,72031,3301,0.942
"797","Census Tract 8044.06; Cook County; Illinois",1840,72237,5783,0.889
"798","Census Tract 8045.05; Cook County; Illinois",1503,84728,3644,0.922
"799","Census Tract 8045.06; Cook County; Illinois",1995,132679,5141,0.953
"800","Census Tract 8045.08; Cook County; Illinois",855,65708,2345,0.678
"801","Census Tract 8045.09; Cook County; Illinois",1645,90174,6239,0.779
"802","Census Tract 8045.10; Cook County; Illinois",1371,80801,5389,0.784
"803","Census Tract 8045.11; Cook County; Illinois",737,68516,2234,0.813
"804","Census Tract 8045.12; Cook County; Illinois",1327,146710,3555,0.921
"805","Census Tract 8045.13; Cook County; Illinois",1472,151051,3753,0.973
"806","Census Tract 8045.14; Cook County; Illinois",1693,111713,5381,0.894
"807","Census Tract 8046.03; Cook County; Illinois",2932,98247,6263,0.855
"808","Census Tract 8046.06; Cook County; Illinois",2429,136908,6144,0.986
"809","Census Tract 8046.07; Cook County; Illinois",2432,126192,7334,0.967
"810","Census Tract 8046.08; Cook County; Illinois",1587,120565,3627,0.952
"811","Census Tract 8046.09; Cook County; Illinois",2464,110833,5993,0.971
"812","Census Tract 8046.10; Cook County; Illinois",1245,75191,2684,0.963
"813","Census Tract 8046.11; Cook County; Illinois",1833,85451,4233,0.964
"814","Census Tract 8047.01; Cook County; Illinois",2373,78522,5750,0.873
"815","Census Tract 8047.05; Cook County; Illinois",1706,75563,4594,0.898
"816","Census Tract 8047.06; Cook County; Illinois",725,116354,2255,0.936
"817","Census Tract 8047.09; Cook County; Illinois",2987,93586,8235,0.932
"818","Census Tract 8047.10; Cook County; Illinois",1521,95703,3836,0.949
"819","Census Tract 8047.11; Cook County; Illinois",2819,83787,8272,0.915
"820","Census Tract 8047.12; Cook County; Illinois",1877,95590,5431,0.942
"821","Census Tract 8047.13; Cook County; Illinois",2241,97781,5097,0.963
"822","Census Tract 8047.14; Cook County; Illinois",1314,104286,3269,0.949
"823","Census Tract 8047.15; Cook County; Illinois",1232,62183,3777,0.78
"824","Census Tract 8047.16; Cook County; Illinois",1475,112725,4599,0.951
"825","Census Tract 8048.03; Cook County; Illinois",1929,88412,5381,0.915
"826","Census Tract 8048.04; Cook County; Illinois",2476,70750,5744,0.951
"827","Census Tract 8048.05; Cook County; Illinois",2399,110636,6820,0.949
"828","Census Tract 8048.06; Cook County; Illinois",1020,91875,3765,0.898
"829","Census Tract 8048.07; Cook County; Illinois",1877,98906,5547,0.951
"830","Census Tract 8048.08; Cook County; Illinois",945,133125,2768,0.924
"831","Census Tract 8048.09; Cook County; Illinois",1621,110219,4704,0.98
"832","Census Tract 8048.10; Cook County; Illinois",2759,83477,6377,0.88
"833","Census Tract 8049.01; Cook County; Illinois",2430,132232,6319,0.985
"834","Census Tract 8049.02; Cook County; Illinois",2246,123337,6173,0.93
"835","Census Tract 8050.01; Cook County; Illinois",1908,133456,4966,0.974
"836","Census Tract 8050.02; Cook County; Illinois",3068,71682,7434,0.832
"837","Census Tract 8051.05; Cook County; Illinois",2910,76679,7301,0.834
"838","Census Tract 8051.06; Cook County; Illinois",1323,77808,2856,0.932
"839","Census Tract 8051.07; Cook County; Illinois",3102,58354,6304,0.747
"840","Census Tract 8051.08; Cook County; Illinois",2605,73575,6375,0.852
"841","Census Tract 8051.09; Cook County; Illinois",1760,102727,4546,0.929
"842","Census Tract 8051.10; Cook County; Illinois",2004,99504,4360,0.953
"843","Census Tract 8051.11; Cook County; Illinois",3004,60470,8017,0.762
"844","Census Tract 8051.12; Cook County; Illinois",1125,73859,3312,0.867
"845","Census Tract 8052.01; Cook County; Illinois",1262,108800,3639,0.933
"846","Census Tract 8052.02; Cook County; Illinois",1589,97946,3865,0.957
"847","Census Tract 8053.01; Cook County; Illinois",1117,119196,3179,0.897
"848","Census Tract 8053.02; Cook County; Illinois",1365,103498,3896,0.913
"849","Census Tract 8054.01; Cook County; Illinois",1592,109500,4618,0.939
"850","Census Tract 8054.02; Cook County; Illinois",1707,99271,4907,0.97
"851","Census Tract 8055.01; Cook County; Illinois",1503,131979,3438,0.962
"852","Census Tract 8055.02; Cook County; Illinois",1764,151131,4321,0.987
"853","Census Tract 8056; Cook County; Illinois",1652,163182,4794,0.987
"854","Census Tract 8057.01; Cook County; Illinois",2121,157411,5361,0.958
"855","Census Tract 8057.02; Cook County; Illinois",719,145250,2036,0.955
"856","Census Tract 8058.01; Cook County; Illinois",1001,115469,2360,0.985
"857","Census Tract 8058.02; Cook County; Illinois",1942,142031,5435,0.987
"858","Census Tract 8059.01; Cook County; Illinois",2051,85516,4320,0.922
"859","Census Tract 8059.02; Cook County; Illinois",2202,144931,6066,0.953
"860","Census Tract 8060.01; Cook County; Illinois",2575,53893,5742,0.828
"861","Census Tract 8060.02; Cook County; Illinois",2477,67317,6947,0.845
"862","Census Tract 8060.04; Cook County; Illinois",3187,64832,8434,0.792
"863","Census Tract 8060.05; Cook County; Illinois",1068,100375,2713,0.9
"864","Census Tract 8060.06; Cook County; Illinois",1715,61329,4417,0.883
"865","Census Tract 8061.02; Cook County; Illinois",1583,108386,4219,0.959
"866","Census Tract 8061.03; Cook County; Illinois",1992,99701,5296,0.955
"867","Census Tract 8061.04; Cook County; Illinois",1785,50839,3863,0.72
"868","Census Tract 8062.01; Cook County; Illinois",2350,69325,5130,0.876
"869","Census Tract 8062.02; Cook County; Illinois",2533,73491,4939,0.9
"870","Census Tract 8063; Cook County; Illinois",1724,102292,4417,0.898
"871","Census Tract 8064; Cook County; Illinois",846,116628,2396,0.954
"872","Census Tract 8065.01; Cook County; Illinois",763,65750,2382,0.847
"873","Census Tract 8065.02; Cook County; Illinois",1458,72182,3973,0.901
"874","Census Tract 8066; Cook County; Illinois",1202,97708,3486,0.903
"875","Census Tract 8067; Cook County; Illinois",1678,114593,4266,0.994
"876","Census Tract 8068.01; Cook County; Illinois",1638,74004,4009,0.892
"877","Census Tract 8068.02; Cook County; Illinois",1089,109125,3293,0.861
"878","Census Tract 8069; Cook County; Illinois",2201,84438,5524,0.965
"879","Census Tract 8070; Cook County; Illinois",2074,56434,5111,0.931
"880","Census Tract 8071; Cook County; Illinois",1221,146719,3850,0.962
"881","Census Tract 8072; Cook County; Illinois",1930,97212,6056,0.926
"882","Census Tract 8073; Cook County; Illinois",2969,77307,8095,0.9
"883","Census Tract 8074; Cook County; Illinois",2373,91926,6932,0.953
"884","Census Tract 8075; Cook County; Illinois",1089,141411,3325,0.96
"885","Census Tract 8076; Cook County; Illinois",2173,101432,6319,0.912
"886","Census Tract 8077; Cook County; Illinois",2281,66984,6149,0.902
"887","Census Tract 8078; Cook County; Illinois",842,151538,2697,0.95
"888","Census Tract 8079; Cook County; Illinois",1411,108351,4342,0.974
"889","Census Tract 8080.01; Cook County; Illinois",1383,93958,3584,0.874
"890","Census Tract 8080.02; Cook County; Illinois",1875,87460,5241,0.943
"891","Census Tract 8081; Cook County; Illinois",1781,56131,3151,0.985
"892","Census Tract 8082; Cook County; Illinois",1842,84250,5806,0.92
"893","Census Tract 8083.01; Cook County; Illinois",2616,77500,6124,0.923
"894","Census Tract 8083.02; Cook County; Illinois",1816,74539,4699,0.951
"895","Census Tract 8084; Cook County; Illinois",1575,116096,4287,0.955
"896","Census Tract 8085; Cook County; Illinois",1475,128254,4334,0.956
"897","Census Tract 8086; Cook County; Illinois",857,156635,2288,0.995
"898","Census Tract 8087.02; Cook County; Illinois",461,56463,5244,0.923
"899","Census Tract 8088; Cook County; Illinois",1640,159500,3886,0.966
"900","Census Tract 8089; Cook County; Illinois",1733,183893,4121,0.977
"901","Census Tract 8090; Cook County; Illinois",1540,193500,3731,0.997
"902","Census Tract 8091; Cook County; Illinois",1552,107000,3214,0.981
"903","Census Tract 8092; Cook County; Illinois",1680,48839,4855,0.922
"904","Census Tract 8093; Cook County; Illinois",1939,43732,4688,0.993
"905","Census Tract 8094.01; Cook County; Illinois",1557,105231,2690,0.987
"906","Census Tract 8094.02; Cook County; Illinois",1415,67014,2713,0.996
"907","Census Tract 8095; Cook County; Illinois",2095,74538,4099,0.964
"908","Census Tract 8096; Cook County; Illinois",1371,76844,3226,0.969
"909","Census Tract 8097; Cook County; Illinois",1267,132875,3726,0.966
"910","Census Tract 8098; Cook County; Illinois",1036,76444,2593,0.98
"911","Census Tract 8099; Cook County; Illinois",1303,119476,2759,0.969
"912","Census Tract 8100; Cook County; Illinois",2762,120809,5349,0.974
"913","Census Tract 8101; Cook County; Illinois",1966,93056,4586,0.979
"914","Census Tract 8102; Cook County; Illinois",2785,71948,6699,0.863
"915","Census Tract 8103.01; Cook County; Illinois",1510,89390,4508,0.956
"916","Census Tract 8103.02; Cook County; Illinois",1288,116860,3229,0.923
"917","Census Tract 8104; Cook County; Illinois",2173,131419,5726,0.972
"918","Census Tract 8105.01; Cook County; Illinois",2051,78798,5103,0.944
"919","Census Tract 8105.02; Cook County; Illinois",2204,70781,5569,0.917
"920","Census Tract 8106; Cook County; Illinois",1840,66533,4783,0.924
"921","Census Tract 8107.01; Cook County; Illinois",1885,52331,4579,0.847
"922","Census Tract 8107.02; Cook County; Illinois",1455,59964,3866,0.898
"923","Census Tract 8108; Cook County; Illinois",1729,95197,5309,0.878
"924","Census Tract 8109; Cook County; Illinois",2614,53679,6324,0.928
"925","Census Tract 8110; Cook County; Illinois",1721,94743,4021,0.981
"926","Census Tract 8111; Cook County; Illinois",2493,66788,6876,0.942
"927","Census Tract 8112; Cook County; Illinois",1890,77912,5198,0.916
"928","Census Tract 8113.01; Cook County; Illinois",1411,68153,4302,0.802
"929","Census Tract 8113.02; Cook County; Illinois",1246,63035,3984,0.869
"930","Census Tract 8114.01; Cook County; Illinois",1414,85577,4849,0.871
"931","Census Tract 8114.02; Cook County; Illinois",1334,78167,4218,0.893
"932","Census Tract 8115; Cook County; Illinois",2016,77550,6210,0.811
"933","Census Tract 8116; Cook County; Illinois",2290,61162,5827,0.777
"934","Census Tract 8117.01; Cook County; Illinois",1058,70500,3491,0.794
"935","Census Tract 8117.02; Cook County; Illinois",1979,62679,5516,0.87
"936","Census Tract 8118; Cook County; Illinois",1787,95236,5309,0.926
"937","Census Tract 8119; Cook County; Illinois",1880,158833,6126,0.944
"938","Census Tract 8120; Cook County; Illinois",2461,138899,5442,0.989
"939","Census Tract 8121; Cook County; Illinois",1623,135234,4836,0.965
"940","Census Tract 8122; Cook County; Illinois",1302,225333,3695,0.977
"941","Census Tract 8123.01; Cook County; Illinois",3163,87476,5155,0.958
"942","Census Tract 8123.02; Cook County; Illinois",1111,125625,2676,0.967
"943","Census Tract 8124; Cook County; Illinois",1126,NA,3295,0.987
"944","Census Tract 8125; Cook County; Illinois",1633,71310,3423,0.954
"945","Census Tract 8126; Cook County; Illinois",1900,72269,3588,0.961
"946","Census Tract 8127; Cook County; Illinois",1589,88717,2981,0.978
"947","Census Tract 8128.01; Cook County; Illinois",1954,73375,3398,0.987
"948","Census Tract 8128.02; Cook County; Illinois",1264,83783,2826,0.933
"949","Census Tract 8129; Cook County; Illinois",1712,145625,4532,0.991
"950","Census Tract 8130; Cook County; Illinois",1462,144821,3828,0.974
"951","Census Tract 8131; Cook County; Illinois",1879,122014,4729,0.983
"952","Census Tract 8132; Cook County; Illinois",1627,131042,4570,0.972
"953","Census Tract 8133.01; Cook County; Illinois",997,48958,3292,0.698
"954","Census Tract 8133.02; Cook County; Illinois",941,51810,2893,0.685
"955","Census Tract 8134; Cook County; Illinois",1947,66799,8214,0.82
"956","Census Tract 8135; Cook County; Illinois",2049,73393,6270,0.855
"957","Census Tract 8136; Cook County; Illinois",1645,64849,5712,0.869
"958","Census Tract 8137.01; Cook County; Illinois",975,56311,2896,0.743
"959","Census Tract 8137.02; Cook County; Illinois",1291,69795,4719,0.856
"960","Census Tract 8138.01; Cook County; Illinois",998,47604,3282,0.746
"961","Census Tract 8138.02; Cook County; Illinois",1342,64464,4386,0.859
"962","Census Tract 8139; Cook County; Illinois",1778,66161,6482,0.806
"963","Census Tract 8140; Cook County; Illinois",1388,61552,4493,0.851
"964","Census Tract 8141; Cook County; Illinois",1380,47679,4793,0.76
"965","Census Tract 8142; Cook County; Illinois",2277,68380,8122,0.812
"966","Census Tract 8143; Cook County; Illinois",1578,52535,4740,0.761
"967","Census Tract 8144; Cook County; Illinois",2473,62481,7637,0.895
"968","Census Tract 8145; Cook County; Illinois",1541,90564,5443,0.888
"969","Census Tract 8146; Cook County; Illinois",1739,66680,5922,0.844
"970","Census Tract 8147; Cook County; Illinois",1678,87727,5071,0.906
"971","Census Tract 8148; Cook County; Illinois",2470,63677,6108,0.95
"972","Census Tract 8149; Cook County; Illinois",2701,56410,6566,0.906
"973","Census Tract 8150; Cook County; Illinois",1338,75429,3839,0.86
"974","Census Tract 8151; Cook County; Illinois",1523,81198,4801,0.856
"975","Census Tract 8152; Cook County; Illinois",2498,59895,7542,0.889
"976","Census Tract 8153; Cook County; Illinois",1343,95781,3538,0.941
"977","Census Tract 8154; Cook County; Illinois",2435,55347,5262,0.963
"978","Census Tract 8155; Cook County; Illinois",2179,91583,7817,0.904
"979","Census Tract 8156; Cook County; Illinois",2123,59338,5412,0.907
"980","Census Tract 8157.01; Cook County; Illinois",1412,148424,3835,0.99
"981","Census Tract 8157.02; Cook County; Illinois",2012,147813,5383,0.988
"982","Census Tract 8158; Cook County; Illinois",672,112667,1673,0.981
"983","Census Tract 8159; Cook County; Illinois",2858,71587,4756,0.946
"984","Census Tract 8160; Cook County; Illinois",1784,91458,3441,0.939
"985","Census Tract 8161; Cook County; Illinois",2686,63315,5742,0.932
"986","Census Tract 8162; Cook County; Illinois",1734,88622,4634,0.921
"987","Census Tract 8163; Cook County; Illinois",1563,69922,4848,0.89
"988","Census Tract 8164.01; Cook County; Illinois",1146,68818,3761,0.768
"989","Census Tract 8164.02; Cook County; Illinois",1357,57771,4952,0.755
"990","Census Tract 8165; Cook County; Illinois",1400,58202,4045,0.86
"991","Census Tract 8166; Cook County; Illinois",1164,74070,4370,0.732
"992","Census Tract 8167; Cook County; Illinois",1007,56016,2807,0.781
"993","Census Tract 8168; Cook County; Illinois",2049,78566,5536,0.956
"994","Census Tract 8169; Cook County; Illinois",1746,93947,5907,0.87
"995","Census Tract 8170; Cook County; Illinois",1622,68162,4895,0.936
"996","Census Tract 8171.01; Cook County; Illinois",1687,58542,4802,0.936
"997","Census Tract 8171.02; Cook County; Illinois",1056,58910,2920,0.93
"998","Census Tract 8172; Cook County; Illinois",1456,55473,4488,0.933
"999","Census Tract 8173; Cook County; Illinois",818,63558,2868,0.864
"1000","Census Tract 8174; Cook County; Illinois",1066,91638,3982,0.849
"1001","Census Tract 8175; Cook County; Illinois",1317,58925,3448,0.798
"1002","Census Tract 8176; Cook County; Illinois",1269,52589,3460,0.83
"1003","Census Tract 8177; Cook County; Illinois",1746,80211,5117,0.873
"1004","Census Tract 8179; Cook County; Illinois",2192,60404,5802,0.892
"1005","Census Tract 8180; Cook County; Illinois",1768,51794,4153,0.973
"1006","Census Tract 8181; Cook County; Illinois",919,121328,2253,0.983
"1007","Census Tract 8182; Cook County; Illinois",1963,99302,4655,0.978
"1008","Census Tract 8183; Cook County; Illinois",2014,74615,6259,0.923
"1009","Census Tract 8184.01; Cook County; Illinois",1362,67235,2995,0.941
"1010","Census Tract 8184.02; Cook County; Illinois",1631,88550,3198,0.982
"1011","Census Tract 8185; Cook County; Illinois",2379,105026,5593,0.999
"1012","Census Tract 8186; Cook County; Illinois",1943,105146,4764,0.968
"1013","Census Tract 8187; Cook County; Illinois",1540,114922,3871,0.95
"1014","Census Tract 8188; Cook County; Illinois",2118,111096,5395,0.992
"1015","Census Tract 8189; Cook County; Illinois",1919,103090,4489,0.991
"1016","Census Tract 8190; Cook County; Illinois",1496,169015,4522,0.991
"1017","Census Tract 8191; Cook County; Illinois",1893,47316,3990,0.896
